Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
disaat semua cowok berusaha melacak perhatian lantas remehkan perhatian kasih khusus basic cowok,1,1,1,0,0,0,0,0,1,1,0,0
user user siapa yang telat ngasih eluedan bergaul dengan cigax jifla calis sama siapa licew juga,0,1,0,0,0,0,0,0,0,0,0,0
kadang berfikir kenapa tetap percaya pada tuhan padahal selalu jatuh berkalikali kadang merasa tuhan ninggalkan sendirian ketika orangtuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika anak,0,0,0,0,0,0,0,0,0,0,0,0
user user akunnku matamu tapi diliat dari mana,0,0,0,0,0,0,0,0,0,0,0,0
user user kaum kapir udah keliatan dongoknya dari awal tambah lagi hahahah,1,1,0,1,1,0,0,0,0,0,1,0
user,1,1,0,1,0,0,0,0,1,0,1,0
deklarasi pilkada aman anti hoax warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
baru kelar rewatch aldnoah zero paling emang endingnya karakter utama cowonya kena friendzone bray,0,1,0,0,0,0,0,0,0,0,0,0
admin belanja satu lagi port terbaik makan kepal milo kepal horlicks atau cendol toping doket mano gerai rojak mertuaku taipan depan twins baby romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0
user enak smbil,0,1,0,0,0,0,0,0,0,0,0,0
setidaknya punya jari tengah buat sebelom ukur nyali sama xfxfxxf,1,1,1,0,0,0,0,0,1,1,0,0
user user user user kaleng malu bisa jawab pertanyaan kami dari hari lalu nyungsep user,1,1,1,0,0,0,0,1,0,1,0,0
kalo belajar ekonomi mestinya jago memprivatisasi hati orang ironi user,0,0,0,0,0,0,0,0,0,0,0,0
aktor huruhara prabowo ingin lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
user guru enakan jadi atau guru esde sihnkayaknya menikmati jadi guru,1,1,1,0,0,0,0,1,0,1,0,0
